epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2715.73,1.67585,2.36353,1.78646,0.41608,0.16733,0.15196,0.06904,2.2863,5.83296,2.4187,0.000415496,0.000415496,0.000415496
2,2925.82,1.83332,2.28286,1.92517,0.26461,0.21158,0.17894,0.08995,2.15337,2.69861,2.20965,0.000749779,0.000749779,0.000749779
3,3142.95,1.76574,2.13385,1.87995,0.29952,0.26551,0.21599,0.114,1.88367,3.91978,2.0437,0.00100156,0.00100156,0.00100156
4,3360.27,1.67426,1.97076,1.79998,0.40991,0.32043,0.30673,0.17023,1.69852,2.36613,1.82724,0.00087875,0.00087875,0.00087875
5,3578.02,1.58316,1.75835,1.7292,0.53558,0.34787,0.35103,0.19844,1.61394,2.01838,1.76188,0.000755,0.000755,0.000755
6,3794.85,1.48881,1.63012,1.66212,0.53394,0.39042,0.4025,0.23142,1.54269,1.72396,1.68134,0.00063125,0.00063125,0.00063125
7,4012.09,1.43638,1.48053,1.60943,0.57895,0.39551,0.43484,0.25842,1.4312,1.66023,1.6046,0.0005075,0.0005075,0.0005075
8,4229.81,1.3669,1.35807,1.56942,0.62165,0.46261,0.4733,0.27519,1.38336,1.56652,1.58317,0.00038375,0.00038375,0.00038375
9,4447.31,1.31122,1.28164,1.51689,0.6088,0.45566,0.49635,0.30003,1.34165,1.42353,1.53378,0.00026,0.00026,0.00026
10,4666.79,1.26379,1.19438,1.49234,0.65795,0.49395,0.53139,0.32371,1.27326,1.32302,1.48918,0.00013625,0.00013625,0.00013625
