epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1251.43,1.47811,2.78205,1.53179,0.4066,0.34754,0.29547,0.14975,1.59734,2.61968,1.60759,0.000415496,0.000415496,0.000415496
2,1381.25,1.5421,2.10149,1.58987,0.60416,0.32787,0.33137,0.17969,1.54987,2.41349,1.56595,0.000749779,0.000749779,0.000749779
3,1514.1,1.5364,1.81375,1.59328,0.52886,0.39682,0.40422,0.22097,1.59428,1.86965,1.58639,0.00100156,0.00100156,0.00100156
4,1647.35,1.49787,1.63268,1.56451,0.61538,0.4095,0.43072,0.24183,1.47617,1.77661,1.53504,0.00087875,0.00087875,0.00087875
5,1777.31,1.42152,1.49316,1.51041,0.59911,0.42022,0.45146,0.26562,1.45431,1.65333,1.48833,0.000755,0.000755,0.000755
6,1909.16,1.3644,1.38606,1.46582,0.60135,0.41872,0.47246,0.27824,1.40288,1.46893,1.47494,0.00063125,0.00063125,0.00063125
7,2039.92,1.31164,1.29182,1.4397,0.58216,0.4843,0.50892,0.30826,1.32016,1.38714,1.41468,0.0005075,0.0005075,0.0005075
8,2171.27,1.25374,1.1845,1.39582,0.66155,0.49418,0.54753,0.34049,1.26237,1.32658,1.36152,0.00038375,0.00038375,0.00038375
9,2303.24,1.20707,1.10632,1.36669,0.66535,0.4919,0.5619,0.36059,1.21898,1.20823,1.32339,0.00026,0.00026,0.00026
10,2435.68,1.16885,1.03971,1.34469,0.69915,0.53432,0.59997,0.38895,1.17236,1.1249,1.29847,0.00013625,0.00013625,0.00013625
